Student_ID,Age,Gender,Education_Level,Daily_Social_Media_Hours,Daily_AI_Tool_Usage_Hours,Sleep_Hours,Physical_Activity_Hours,Mental_Health_Score,Physical_Health_Score,Social_Isolation_Score,Burnout_Level,Academic_Performance_Score,Academic_Failure_Risk
STU_00055,16,Male,High School,0.65,2.51,7.24,1.24,80.2,93.18,4.46,Low,98.9,0
STU_00056,21,Male,College,2.91,2.44,9.94,1.19,84.68,99.31,3.24,Low,94.68,0
STU_00057,24,Male,University,4.55,2.9,7.03,0.79,82.92,97.82,4.77,Low,81.26,0
STU_00058,14,Female,High School,0.94,2.19,6.88,0.7,70.9,88.2,3.49,Low,98.99,0
STU_00059,22,Female,University,6.25,1.31,3.94,1.87,61.31,70.21,4.72,Moderate,78.23,0
STU_00060,21,Male,College,5.24,2.33,4.03,2.2,54.09,89.07,3.45,Moderate,80.21,0
STU_00061,22,Male,University,3.92,4.76,5.95,1.06,70.46,90.27,3.51,Moderate,69.6,0
STU_00062,17,Male,High School,9.91,1.5,6.74,1.14,52.6,80.94,6.4,Moderate,64.06,0
STU_00063,14,Male,High School,3.9,5.01,7.71,0.3,71.95,92.11,5.21,Low,92.03,0
STU_00064,16,Male,High School,6.5,1.65,7.51,0.63,65.91,86.55,3.28,Low,84.59,0
STU_00065,24,Female,University,5.02,2.82,4.15,0.45,79.61,69.99,4.51,Moderate,88.02,0
STU_00066,24,Female,University,8.1,6.03,4.88,1.41,54.98,88.92,5.39,Severe,52.79,1
STU_00067,19,Male,College,7.21,3.52,5.05,0.79,62.37,67.54,4.73,Low,60.91,0
STU_00068,24,Female,University,3.75,3.14,7.65,1.53,82.83,82.63,4.44,Moderate,99.53,0
STU_00069,25,Female,University,3.84,3.68,6.16,0.37,74.99,97.97,5.68,Moderate,81.34,0
STU_00070,20,Male,College,1.15,4.3,8.39,3.87,86.36,99.89,3.21,Low,73.03,0
STU_00071,15,Female,High School,4.79,0.99,6.74,0.83,83.07,91.27,2.97,Low,63.89,0
STU_00072,13,Female,High School,6.14,3.4,5.85,0.0,69.01,87.78,3.24,Moderate,74.88,0
STU_00073,16,Male,High School,4.35,2.96,6.37,2.44,81.48,99.48,3.81,Low,82.3,0
STU_00074,14,Non-binary,High School,8.0,0.0,4.64,0.0,45.79,78.33,5.69,High,65.84,1
STU_00075,20,Male,College,4.86,2.95,5.85,0.12,56.13,80.15,5.3,High,86.56,0
STU_00076,16,Male,High School,7.62,0.72,6.91,1.01,66.51,77.78,4.37,Low,60.39,0
STU_00077,14,Female,High School,4.09,2.7,6.46,0.51,83.48,81.8,3.67,Low,76.35,0
STU_00078,18,Male,College,1.6,4.27,5.09,1.05,64.98,85.27,3.8,Low,81.81,0
STU_00079,18,Male,College,2.94,0.82,3.76,0.82,77.04,73.34,3.81,Low,66.62,0
STU_00080,22,Male,University,4.42,2.29,4.97,0.74,66.17,89.98,5.56,Moderate,64.46,0
STU_00081,16,Female,High School,2.63,1.73,5.63,0.0,67.75,83.97,4.52,Low,92.47,0
STU_00082,18,Female,College,0.36,4.55,8.09,2.37,84.3,99.66,3.35,Low,87.42,0
STU_00083,25,Female,University,0.0,1.51,5.89,1.77,74.89,73.82,2.97,Low,81.77,0
STU_00084,14,Female,High School,7.03,2.89,5.59,1.13,50.89,80.44,5.77,High,78.06,0
STU_00085,22,Male,University,5.46,3.64,4.84,0.82,69.94,87.7,6.15,Low,65.79,0
STU_00086,24,Male,University,5.19,3.87,6.76,0.41,66.92,82.93,4.33,Moderate,76.41,0
STU_00087,14,Female,High School,4.92,0.76,7.51,1.59,84.73,79.42,3.21,Low,87.82,0
STU_00088,22,Female,University,3.13,2.04,7.54,2.68,83.65,99.67,3.11,Low,91.5,0
STU_00089,16,Male,High School,6.49,5.38,5.89,1.71,69.79,77.9,4.94,Moderate,65.63,0
STU_00090,20,Male,College,0.15,2.47,7.48,3.72,88.0,99.75,3.12,Low,94.86,0
STU_00091,19,Female,College,0.0,4.35,8.19,1.05,82.34,99.59,3.38,Low,93.29,0
STU_00092,24,Non-binary,University,4.0,6.2,5.85,0.88,76.6,99.49,4.76,Low,54.75,0
STU_00093,21,Female,College,4.82,2.38,6.32,2.58,82.79,99.11,5.8,Moderate,75.6,0
STU_00094,20,Male,College,2.29,4.0,7.98,0.36,81.44,83.1,5.66,Low,88.41,0
STU_00095,17,Non-binary,High School,0.52,4.22,6.89,1.86,86.28,94.94,6.36,Low,67.21,0
STU_00096,25,Female,University,5.98,0.05,6.69,2.02,82.18,98.55,3.28,Low,68.26,0
STU_00097,14,Female,High School,3.47,3.22,8.25,2.83,84.12,91.91,3.49,Low,83.07,0
STU_00098,17,Female,High School,6.24,5.21,5.6,0.0,51.21,94.11,5.26,High,58.7,1
STU_00099,20,Female,College,7.76,0.0,7.28,0.89,80.65,96.56,4.53,Low,82.62,0
STU_00100,22,Female,University,0.49,2.29,8.02,1.47,84.24,93.65,2.23,Low,88.8,0
STU_00101,21,Female,College,5.03,2.71,6.74,0.0,55.98,61.27,3.48,Severe,93.04,1
STU_00102,24,Female,University,5.12,2.32,6.67,0.17,72.73,95.27,4.75,Moderate,89.96,0
STU_00103,24,Female,University,6.36,2.14,4.53,1.54,59.99,91.28,4.42,Low,89.78,0
STU_00104,24,Male,University,3.17,0.5,9.22,2.95,78.74,99.12,2.43,Low,94.31,0
STU_00105,25,Female,University,4.64,3.19,6.23,1.22,83.47,98.83,4.42,Low,90.1,0
STU_00106,21,Female,College,6.33,1.16,7.18,0.0,56.13,91.37,3.66,High,71.29,0
STU_00107,25,Non-binary,University,5.59,1.2,7.73,0.22,79.61,67.92,3.79,Moderate,96.78,0
STU_00108,25,Male,University,8.4,0.0,6.68,0.0,69.56,73.93,5.48,Low,74.44,0
STU_00109,13,Female,High School,2.33,0.0,8.67,2.89,83.45,99.9,2.84,Low,68.79,0
STU_00110,21,Male,College,5.02,5.16,7.33,2.47,66.75,99.35,3.48,Low,62.01,0
STU_00111,19,Female,College,4.28,2.64,4.39,0.0,73.81,85.39,8.02,Moderate,82.11,0
STU_00112,21,Female,College,3.98,3.83,6.49,2.99,64.25,98.68,5.38,Low,61.81,0
STU_00113,20,Male,College,5.97,0.9,3.96,1.99,59.68,83.71,4.69,Moderate,82.1,0
STU_00114,13,Female,High School,4.79,0.0,6.44,1.11,67.25,88.26,3.27,Moderate,66.44,0
STU_00115,24,Male,University,1.84,1.32,6.06,0.0,77.17,97.53,2.65,Low,91.88,0
STU_00116,20,Male,College,6.88,0.0,5.34,0.36,61.45,80.42,4.18,Moderate,76.3,0
STU_00117,20,Female,College,5.98,1.24,6.66,1.45,73.81,97.55,4.85,Moderate,69.99,0
STU_00118,23,Male,University,8.19,4.57,6.6,0.0,61.72,85.77,4.78,Low,69.45,0
STU_00119,15,Male,High School,6.32,2.32,4.37,0.11,88.6,70.8,6.31,Moderate,88.75,0
STU_00120,13,Male,High School,3.97,5.11,9.0,0.0,61.41,97.64,4.79,Moderate,75.45,0
STU_00121,20,Male,College,3.99,3.53,7.1,1.01,79.81,74.13,4.16,Low,87.97,0
STU_00122,15,Female,High School,7.09,4.42,5.92,0.0,70.83,98.37,5.23,High,81.02,0
STU_00123,15,Female,High School,2.58,2.06,6.8,1.2,73.96,83.69,3.85,Low,80.78,0
STU_00124,13,Female,High School,2.24,0.0,5.1,2.02,78.85,73.26,2.1,Moderate,82.4,0
STU_00125,23,Male,University,5.05,0.67,5.88,1.62,81.35,94.34,3.2,Low,62.78,0
STU_00126,17,Male,High School,0.76,4.71,5.64,3.3,73.54,97.88,3.69,Low,86.99,0
STU_00127,22,Male,University,5.37,2.82,5.57,1.55,72.53,88.59,3.91,Moderate,96.5,0
STU_00128,19,Female,College,5.67,0.03,7.38,0.85,69.62,81.46,3.49,Low,91.35,0
STU_00129,22,Female,University,3.88,3.67,5.59,3.05,71.24,97.61,2.84,Low,77.78,0
STU_00130,21,Female,College,8.02,0.0,6.76,0.98,76.22,80.6,5.58,Moderate,60.71,0
STU_00131,24,Female,University,7.32,3.33,6.79,0.54,70.81,78.89,5.68,Low,71.35,0
STU_00132,19,Female,College,2.55,2.03,7.18,0.78,67.58,88.11,3.34,Low,98.97,0
STU_00133,21,Female,College,6.14,3.74,8.59,2.85,82.2,97.61,5.31,Low,54.05,0
STU_00134,20,Female,College,6.96,2.02,6.6,0.62,67.15,97.93,4.98,Moderate,89.35,0
STU_00135,24,Male,University,4.71,3.81,8.15,1.0,64.14,93.42,5.12,Low,78.75,0
STU_00136,14,Male,High School,3.42,0.0,9.23,1.93,77.76,97.14,3.25,Low,92.26,0
STU_00137,13,Female,High School,1.73,3.1,6.77,0.83,82.56,82.66,4.19,Low,94.81,0
STU_00138,19,Female,College,3.1,1.7,10.47,1.29,88.22,83.6,3.07,Low,91.77,0
STU_00139,19,Non-binary,College,1.78,3.17,8.47,0.69,83.43,92.85,3.19,Low,82.78,0
STU_00140,20,Male,College,6.78,1.95,5.06,0.94,81.14,85.23,4.35,Low,86.78,0
STU_00141,17,Male,High School,3.86,0.89,8.34,1.23,84.15,92.26,3.36,Low,65.23,0
STU_00142,15,Non-binary,High School,5.8,2.31,5.61,0.7,81.37,69.17,4.17,Low,82.39,0
STU_00143,24,Female,University,7.65,4.73,6.51,1.97,73.54,75.27,5.14,Moderate,62.98,0
STU_00144,20,Male,College,5.03,1.41,7.95,2.12,64.8,96.8,2.6,Low,73.39,0
STU_00145,18,Female,College,7.44,2.86,7.14,3.28,81.19,98.82,3.82,Low,82.96,0
STU_00146,23,Male,University,3.62,1.29,6.07,0.0,73.83,97.13,3.32,Moderate,96.96,0
STU_00147,15,Male,High School,5.47,0.0,5.67,0.21,72.66,79.81,7.0,Moderate,62.07,0
STU_00148,13,Female,High School,5.01,2.64,5.21,1.27,54.48,91.78,4.28,High,72.37,0
STU_00149,15,Female,High School,2.75,9.5,8.03,1.63,76.71,98.77,4.26,Low,84.38,0
STU_00150,17,Male,High School,3.73,0.09,8.02,2.88,61.28,97.03,4.04,Low,75.13,0
STU_00151,15,Male,High School,8.04,4.23,7.36,0.0,64.84,81.67,5.25,High,73.45,0
STU_00152,13,Female,High School,3.64,0.0,4.85,2.48,74.45,91.58,2.96,Moderate,72.92,0
STU_00153,17,Male,High School,0.34,2.4,8.13,0.67,70.1,98.52,3.8,Low,96.04,0
STU_00154,22,Female,University,3.63,0.0,6.17,0.0,75.3,96.94,5.33,Moderate,85.8,0
STU_00155,19,Female,College,2.62,3.28,5.44,1.54,87.94,85.82,4.82,Low,90.8,0
STU_00156,19,Male,College,5.64,1.51,4.91,0.95,76.06,81.32,5.66,Low,71.49,0
STU_00157,23,Female,University,6.04,1.44,6.54,4.27,78.9,96.96,3.08,Low,83.38,0
STU_00158,21,Female,College,5.4,0.46,6.35,1.93,73.51,99.16,4.85,High,50.24,1
STU_00159,22,Male,University,3.48,0.0,7.61,2.17,79.93,96.08,2.74,Low,77.9,0
STU_00160,22,Male,University,4.65,1.97,6.74,0.82,65.17,80.72,5.1,Moderate,89.95,0
STU_00161,24,Male,University,3.71,1.22,7.63,0.98,66.95,85.77,4.63,Low,67.76,0
STU_00162,25,Female,University,0.88,1.75,7.01,0.0,84.12,78.67,6.1,Low,92.76,0
STU_00163,15,Female,High School,4.22,1.88,5.72,1.69,84.5,91.52,3.37,Low,66.66,0
STU_00164,19,Male,College,11.09,0.99,6.91,0.0,36.64,91.19,7.3,High,63.0,1
STU_00165,13,Male,High School,1.93,2.71,7.62,0.05,82.4,95.45,4.96,Low,84.71,0
STU_00166,16,Male,High School,0.0,2.11,7.28,1.67,85.36,92.05,3.09,Low,98.22,0
STU_00167,25,Female,University,8.06,3.99,5.92,0.19,58.97,73.78,5.66,Moderate,70.85,0
STU_00168,16,Male,High School,5.62,6.78,5.47,0.11,65.03,70.9,7.02,High,72.87,0
STU_00169,17,Female,High School,5.24,2.91,7.18,0.45,71.58,74.44,3.97,High,72.2,0
STU_00170,19,Male,College,3.6,4.49,7.27,1.88,79.84,92.42,4.39,Low,78.76,0
STU_00171,19,Female,College,5.07,2.73,5.27,1.86,60.15,80.04,6.31,Low,65.83,0
STU_00172,25,Female,University,4.63,3.34,8.42,0.0,80.29,87.5,3.47,Low,80.34,0
STU_00173,23,Female,University,7.78,1.91,5.92,1.51,88.42,95.14,3.93,Low,75.35,0
STU_00174,25,Male,University,6.79,2.32,5.77,2.01,72.01,92.39,3.38,Low,86.5,0
STU_00175,16,Female,High School,6.01,1.07,7.94,3.54,80.46,98.7,3.6,High,90.67,0
STU_00176,25,Male,University,2.79,5.05,7.38,1.91,71.63,94.06,2.32,Moderate,73.77,0
STU_00177,19,Male,College,5.07,4.24,6.97,0.0,82.46,98.72,6.91,Moderate,52.57,0
STU_00178,23,Female,University,2.96,2.96,7.52,2.08,70.85,88.07,4.05,Low,83.29,0
STU_00179,15,Female,High School,7.57,0.65,7.73,2.23,67.21,84.07,5.41,Moderate,88.95,0
STU_00180,18,Male,College,2.71,2.18,5.58,2.64,69.88,84.69,3.42,Low,76.65,0
STU_00181,24,Male,University,4.16,4.24,5.72,2.86,55.04,98.24,3.74,Moderate,72.91,0
STU_00182,14,Female,High School,1.78,6.9,8.41,3.01,80.15,98.24,2.36,Low,59.6,0
STU_00183,22,Female,University,3.25,2.64,5.9,1.27,85.43,74.38,4.46,Low,69.91,0
STU_00184,25,Male,University,3.23,4.71,5.24,1.47,85.33,68.91,4.36,Low,76.75,0
STU_00185,21,Female,College,4.12,2.81,7.08,0.32,83.8,83.76,4.9,Low,99.05,0
STU_00186,17,Male,High School,2.25,4.8,6.17,0.04,68.77,94.99,3.04,Moderate,71.23,0
STU_00187,18,Female,College,7.54,0.0,7.11,0.0,67.98,77.67,4.24,Low,70.12,0
STU_00188,24,Female,University,4.03,0.95,6.61,2.3,67.77,75.57,3.72,Low,47.6,0
STU_00189,24,Male,University,3.17,3.06,6.2,0.23,82.52,86.32,4.52,Low,72.33,0
STU_00190,24,Female,University,6.42,0.31,5.34,1.27,62.71,77.04,4.26,Severe,76.71,1
STU_00191,24,Female,University,9.91,3.26,6.29,1.34,47.78,73.88,5.4,High,77.16,0
STU_00192,16,Female,High School,3.49,2.57,6.45,1.96,59.02,89.55,2.56,Low,92.41,0
STU_00193,23,Female,University,3.89,0.0,7.12,2.91,84.32,94.16,3.48,Low,85.65,0
STU_00194,22,Female,University,2.65,0.0,6.14,1.86,70.98,94.44,2.89,Low,87.4,0
STU_00195,19,Male,College,6.16,3.1,6.79,1.23,56.87,90.78,5.97,Low,89.54,0
STU_00196,24,Male,University,6.89,0.44,6.41,2.89,59.81,76.23,3.82,Moderate,62.5,0
STU_00197,21,Male,College,4.38,1.68,6.58,0.1,68.18,84.42,5.67,Moderate,60.81,0
STU_00198,19,Non-binary,College,3.4,3.64,7.22,1.28,82.87,96.36,3.96,Moderate,67.11,0
STU_00199,13,Female,High School,5.83,2.35,3.9,0.79,42.39,86.07,5.37,High,90.37,0
STU_00200,13,Female,High School,6.35,1.74,5.11,1.56,59.54,68.01,4.17,Moderate,67.13,0
STU_00201,21,Male,College,8.39,0.0,6.02,1.36,65.89,86.01,4.21,Moderate,48.65,0
STU_00202,23,Female,University,3.04,5.2,6.69,0.0,76.73,81.72,3.8,Low,91.92,0
STU_00203,21,Female,College,6.63,3.95,6.53,0.0,62.46,75.94,5.27,Moderate,74.16,0
STU_00204,16,Female,High School,4.76,1.34,5.86,0.01,69.75,87.99,5.81,Moderate,89.2,0
STU_00205,25,Male,University,0.16,0.87,7.76,1.52,86.0,97.77,3.41,Low,83.07,0
STU_00206,21,Male,College,8.31,1.49,5.62,0.0,61.35,75.93,4.82,Severe,67.14,1
STU_00207,15,Female,High School,5.24,0.74,5.72,0.0,78.36,81.01,4.59,Low,80.66,0
STU_00208,19,Female,College,6.02,1.97,7.09,0.0,84.08,79.48,4.78,Low,92.72,0
STU_00209,18,Male,College,6.87,4.51,6.93,0.48,65.03,91.67,3.84,Moderate,56.4,0
STU_00210,20,Female,College,5.99,4.32,6.97,0.04,58.99,82.45,4.91,High,46.99,1
STU_00211,23,Male,University,2.08,4.31,6.98,1.94,76.23,85.15,3.08,Low,67.48,0
STU_00212,21,Female,College,6.19,0.16,6.97,1.66,79.3,84.86,6.51,Low,76.43,0
STU_00213,17,Female,High School,5.74,0.64,6.99,2.89,76.21,85.91,3.1,Low,72.23,0
STU_00214,13,Male,High School,0.33,4.23,8.13,2.01,87.61,90.8,3.9,Low,80.17,0
STU_00215,15,Female,High School,8.67,3.31,7.66,0.0,51.54,87.27,4.91,High,79.72,0
STU_00216,22,Male,University,3.56,1.72,8.08,1.53,86.47,98.44,3.22,Low,80.42,0
STU_00217,24,Male,University,6.99,3.78,4.38,0.94,45.14,92.73,5.21,Moderate,60.82,0
STU_00218,20,Female,College,3.66,3.41,6.03,2.17,59.64,92.29,3.73,Low,79.98,0
STU_00219,23,Male,University,3.17,0.0,9.08,1.93,74.35,89.79,2.01,Low,84.06,0
STU_00220,18,Male,College,4.3,0.0,4.95,1.6,82.07,90.98,2.84,Low,91.3,0
STU_00221,20,Male,College,9.8,2.48,5.26,2.26,63.14,75.52,5.66,Moderate,51.06,0
STU_00222,21,Male,College,9.53,0.0,8.34,2.45,70.27,98.45,3.13,Low,62.55,0
STU_00223,16,Male,High School,3.16,4.47,5.18,0.32,75.69,85.46,5.86,Moderate,84.8,0
STU_00224,13,Male,High School,7.62,3.42,5.07,0.0,71.91,97.39,4.91,High,78.22,0
STU_00225,13,Female,High School,4.56,1.84,6.51,0.0,71.44,82.37,4.69,Moderate,83.53,0
STU_00226,22,Male,University,9.55,0.28,4.43,1.46,76.48,98.11,3.76,Moderate,74.46,0
STU_00227,16,Female,High School,7.38,0.81,7.33,0.0,80.88,79.24,4.68,Moderate,67.53,0
STU_00228,24,Male,University,5.2,0.0,7.36,0.55,77.58,95.87,2.42,Low,99.25,0
STU_00229,19,Male,College,4.7,5.01,7.67,1.96,76.49,85.55,5.28,Low,76.14,0
STU_00230,14,Male,High School,6.02,2.85,4.4,2.62,87.65,83.69,5.98,Low,67.79,0
STU_00231,15,Female,High School,5.71,2.18,7.05,0.54,59.4,67.97,5.09,Moderate,92.96,0
STU_00232,13,Female,High School,1.74,5.8,6.63,3.41,86.91,98.64,2.39,Low,91.81,0
STU_00233,17,Female,High School,5.02,0.79,4.78,0.8,78.21,74.01,5.02,Low,56.55,0
STU_00234,13,Male,High School,2.87,2.14,9.23,3.32,80.11,97.2,2.16,Low,77.42,0
STU_00235,20,Female,College,3.18,1.25,5.71,0.0,75.29,98.79,3.38,Low,69.29,0
STU_00236,13,Male,High School,7.29,6.25,6.31,1.03,51.06,88.42,5.73,High,80.57,0
STU_00237,23,Male,University,5.01,1.98,6.13,0.75,68.53,80.1,4.87,Moderate,89.19,0
STU_00238,13,Female,High School,3.36,2.83,7.41,2.21,51.02,97.25,2.4,Moderate,87.94,0
STU_00239,14,Male,High School,1.47,5.42,6.09,0.81,73.25,99.22,5.16,Moderate,92.34,0
STU_00240,14,Non-binary,High School,2.56,4.45,7.72,2.17,71.48,94.24,4.03,Low,86.03,0
STU_00241,24,Male,University,4.35,0.0,8.71,1.82,88.43,97.47,2.65,Low,68.55,0
STU_00242,18,Non-binary,College,8.71,1.93,6.15,2.71,73.04,90.29,4.32,Moderate,93.29,0
STU_00243,19,Female,College,1.88,2.37,5.02,0.0,67.98,75.67,3.57,Low,99.88,0
STU_00244,17,Female,High School,5.24,2.79,4.97,1.73,74.89,87.07,4.74,Moderate,75.34,0
STU_00245,13,Male,High School,5.52,3.07,8.52,3.02,47.75,89.96,4.43,Moderate,76.65,0
STU_00246,13,Male,High School,7.56,0.87,6.97,1.75,77.88,84.61,5.66,Low,89.91,0
STU_00247,15,Female,High School,4.81,5.25,6.02,2.7,57.27,86.18,4.3,Low,53.87,0
STU_00248,14,Male,High School,5.52,3.3,7.65,0.0,74.24,72.42,4.1,Moderate,99.08,0
STU_00249,17,Female,High School,7.46,3.67,5.65,0.0,63.69,86.17,5.22,Moderate,64.53,0
STU_00250,24,Non-binary,University,2.56,4.97,7.7,2.2,78.44,82.53,5.11,Low,66.51,0
STU_00251,22,Male,University,6.48,3.0,3.94,1.9,46.43,88.4,4.36,High,90.62,0
STU_00252,18,Female,College,1.02,2.12,6.63,0.0,79.29,79.2,4.54,Low,81.86,0
STU_00253,19,Female,College,4.66,1.85,5.61,0.86,83.28,97.31,4.86,Low,68.64,0
STU_00254,16,Male,High School,3.91,2.09,5.0,0.81,75.52,74.17,4.93,Moderate,87.18,0
STU_00255,19,Male,College,2.69,2.21,6.04,1.29,78.77,91.88,3.35,Low,89.32,0
STU_00256,23,Male,University,6.93,0.0,6.26,0.63,63.65,95.42,4.03,Moderate,53.48,0
STU_00257,20,Male,College,7.07,1.38,5.59,1.0,77.05,97.95,4.1,Moderate,98.3,0
STU_00258,23,Female,University,7.17,0.53,6.96,2.72,79.71,72.81,3.72,Low,88.09,0
STU_00259,13,Male,High School,5.45,0.0,6.8,2.02,69.78,98.14,3.42,Low,90.91,0
STU_00260,18,Non-binary,College,1.42,2.78,6.4,0.78,74.98,87.53,4.5,Low,92.62,0
STU_00261,20,Male,College,3.68,3.3,8.01,3.56,86.99,94.91,2.86,Low,79.95,0
STU_00262,17,Female,High School,7.01,0.95,7.25,0.75,80.15,89.66,3.04,Moderate,67.33,0
STU_00263,16,Female,High School,6.98,2.0,6.69,1.06,64.84,82.26,4.0,Moderate,79.07,0
STU_00264,14,Male,High School,7.49,3.52,4.55,0.91,76.19,70.24,5.26,Moderate,72.82,0
STU_00265,18,Male,College,5.29,1.96,6.91,0.77,52.57,80.41,4.92,Moderate,74.74,0
STU_00266,18,Female,College,4.05,2.25,7.42,1.06,71.29,88.98,3.42,Low,78.65,0
STU_00267,23,Female,University,0.0,2.06,8.3,0.0,79.65,81.34,2.86,Low,92.84,0
STU_00268,13,Male,High School,6.66,3.58,5.61,0.34,71.44,88.21,5.54,Moderate,74.01,0
STU_00269,21,Male,College,4.25,2.47,8.08,4.08,78.24,92.97,2.72,Low,74.23,0
